description,price,rating,review_count,url
"Sony Xperia E5 16GB (F3313) Unlocked GSM 4G LTE 5.0"" Display Smartphone w/ 13MP Camera, Black",,3.5 out of 5 stars,28,https://www.amazon.com/Sony-F3313-Unlocked-Display-Smartphone/dp/B07HVZ83WN
"Honor 5X Unlocked Smartphone, 16GB Dark Grey (US Warranty)",$299.00,4.3 out of 5 stars,"2,146",https://www.amazon.com/Honor-5X-Unlocked-Smartphone-Warranty/dp/B019O8YX1K
"Samsung Galaxy S21 5G, US Version, 128GB, Phantom White - Unlocked (Renewed)","$524.00,$572.00",4.3 out of 5 stars,152,https://www.amazon.com/Samsung-Galaxy-S21-5G-Version/dp/B08XLYY4TW
"LANDVO mate40 Pro Unlocked Smartphone, 5.45in 1+8GB HD Screen Phone Dual Card Dual Standby Smart Phone 128GB of Expandable Storage Android Cell Phone Face Recognition Fingerprint Mobile Phone(Gold)",$75.58,2.7 out of 5 stars,49,https://www.amazon.com/Unlocked-Smartphone-Expandable-Recognition-Fingerprint/dp/B08XLX3DPB
Nokia G20 | Android 11 | Unlocked Smartphone | 3-Day Battery | Dual SIM | US Version | 4/128GB | 6.52-Inch Screen | 48MP Quad Camera | Polar Night,$199.99,3.9 out of 5 stars,189,https://www.amazon.com/Nokia-Android-Unlocked-Smartphone-6-52-Inch/dp/B093RQCX2D
"Unlocked Cell Phones, Android 9.1 Smart Phone HD Full Screen Phone, Dual SIM Unlocked Smartphones, 1+4GB RAM 5.0inch Touch Screen Mobile Cell Phone, Best for Father Childrens Christmas Gift",,3.6 out of 5 stars,13,https://www.amazon.com/ARGIN-Unlocked-Smartphones-Childrens-Christmas/dp/B09FJSJZGW
"Apple iPhone SE, 64GB, Red - for Cricket Wireless (Renewed)","$269.97,$399.00",4.8 out of 5 stars,14,https://www.amazon.com/Apple-iPhone-SE-64GB-Red/dp/B08FG7X36T
"Nokia 4.2 - Android One (Pie) - 32 GB - 13+2 MP Dual Camera - Dual SIM Unlocked Smartphone (AT&T/T-Mobile/MetroPCS/Cricket/H2O) - 5.71"" HD+ Screen - Black - U.S. Warranty",,4.0 out of 5 stars,154,https://www.amazon.com/Nokia-4-2-Unlocked-Smartphone-T-Mobile/dp/B07QTLB1D9
"Samsung Galaxy S21+ 5G, US Version, 128GB, Phantom Violet - Unlocked (Renewed)","$628.00,$999.99",4.2 out of 5 stars,154,https://www.amazon.com/Samsung-Galaxy-S21-5G-Version/dp/B08VWGN1N2
BLU J6 | 2020 | Long Lasting Battery | Unlocked | 6.0” HD+ Display | 32GB | 8MP Camera | US Warranty | Blue,$69.99,3.5 out of 5 stars,321,https://www.amazon.com/BLU-Lasting-Battery-Unlocked-Warranty/dp/B097Z1P4GM
